id,method,name,folder,ontology,domain,problem,reasoning_time,planning_time,total_time,plan_length,analyzed_states,ontology_axioms,hooks,fluents,repairs
81,om_planning,drones5-5,../examples/drones/5-5,drone5-5.ttl,drone.pddl,droneProblem5-5.pddl,183.101192193,0.764023635,183.991401004,6,2297,221,1300,52,
82,horn_planning,drones5-5,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem5-5.pddl,1.031247117,0.600999207,1.650494523,6,1231,-,-,-,-
83,om_planning,drones5-6,../examples/drones/5-6,drone5-6.ttl,drone.pddl,droneProblem5-6.pddl,277.824718334,1.098443068,279.0438006,8,13851,221,1300,52,
84,horn_planning,drones5-6,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem5-6.pddl,0.914870574,1.489604294,2.420142967,8,10468,-,-,-,-
85,om_planning,drones5-7,../examples/drones/5-7,drone5-7.ttl,drone.pddl,droneProblem5-7.pddl,1289.932220001,9.592413092,1299.670324004,11,184522,220,1300,52,
86,horn_planning,drones5-7,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem5-7.pddl,0.944755277,20.673499969,21.635936368,11,135057,-,-,-,-
87,om_planning,drones5-8,../examples/drones/5-8,drone5-8.ttl,drone.pddl,droneProblem5-8.pddl,95.798795296,11.661286202,107.570144995, no plan,199521,221,1300,52,
88,horn_planning,drones5-8,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem5-8.pddl,0.917394402,143.559123799,144.489220559, no plan,680680,-,-,-,-
89,om_planning,drones6-5,../examples/drones/6-5,drone6-5.ttl,drone.pddl,droneProblem6-5.pddl,332.495840765,1.27444874,333.96168932,5,1266,307,2664,74,
90,horn_planning,drones6-5,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem6-5.pddl,0.938169445,0.84131494,1.791978917,5,1074,-,-,-,-
91,om_planning,drones6-6,../examples/drones/6-6,drone6-6.ttl,drone.pddl,droneProblem6-6.pddl,139.297595221,1.711164361,141.137338464,8,14331,307,2664,74,
92,horn_planning,drones6-6,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem6-6.pddl,0.995082661,2.207279927,3.217411201,8,11490,-,-,-,-
93,om_planning,drones6-7,../examples/drones/6-7,drone6-7.ttl,drone.pddl,droneProblem6-7.pddl,313.370124942,7.317447199,320.855399252,11,138495,308,2664,74,
94,horn_planning,drones6-7,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem6-7.pddl,0.982810586,12.110562148,13.106978943,11,70775,-,-,-,-
95,om_planning,drones6-8,../examples/drones/6-8,drone6-8.ttl,drone.pddl,droneProblem6-8.pddl,369.840517514,140.594452404,510.613441527,13,1713846,307,2664,74,
96,horn_planning,drones6-8,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem6-8.pddl,1.011846794,963.752073973,964.777852622,13,4113745,-,-,-,-
97,om_planning,drones7-5,../examples/drones/7-5,drone7-5.ttl,drone.pddl,droneProblem7-5.pddl,914.544284959,2.151596693,917.01142055,6,1975,410,4900,100,
98,horn_planning,drones7-5,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem7-5.pddl,0.995718207,1.458418533,2.467749184,6,2132,-,-,-,-
99,om_planning,drones7-6,../examples/drones/7-6,drone7-6.ttl,drone.pddl,droneProblem7-6.pddl,1499.197632404,2.271709255,1501.768254763,6,13469,409,4900,100,
100,horn_planning,drones7-6,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem7-6.pddl,0.933899943,2.45412921,3.401782714,6,9604,-,-,-,-
101,om_planning,drones7-7,../examples/drones/7-7,drone7-7.ttl,drone.pddl,droneProblem7-7.pddl,1185.337341561,7.926329351,1193.602485996,9,130316,410,4900,100,
102,horn_planning,drones7-7,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem7-7.pddl,0.933190537,22.131282521,23.081067796,9,101471,-,-,-,-
103,om_planning,drones7-8,../examples/drones/7-8,drone7-8.ttl,drone.pddl,droneProblem7-8.pddl,1650.272372907, >150, -,-,-,409,4900,100,
104,horn_planning,drones7-8,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem7-8.pddl,0.996150557,943.139238323,944.15196084,10,4034537,-,-,-,-
105,om_planning,drones8-5,../examples/drones/8-5,drone8-5.ttl,drone.pddl,droneProblem8-5.pddl,676.028474894,2.971155342,679.304541575,5,2054,532,8320,130,
106,horn_planning,drones8-5,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem8-5.pddl,0.993466796,1.81870115,2.825100603,5,1424,-,-,-,-
107,om_planning,drones8-6,../examples/drones/8-6,drone8-6.ttl,drone.pddl,droneProblem8-6.pddl,497.846274437,4.393505645,502.498450151,7,31409,532,8320,130,
108,horn_planning,drones8-6,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem8-6.pddl,0.914168554,5.387738123,6.314934205,7,18655,-,-,-,-
109,om_planning,drones8-7,../examples/drones/8-7,drone8-7.ttl,drone.pddl,droneProblem8-7.pddl,1735.201650965,11.349663028,1746.976998195,8,146132,532,8320,130,
110,horn_planning,drones8-7,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem8-7.pddl,0.885186099,22.055650739,22.953997494,8,90164,-,-,-,-
111,om_planning,drones8-8,../examples/drones/8-8,drone8-8.ttl,drone.pddl,droneProblem8-8.pddl,1325.502185599,58.437170091,1384.391549323,9,845330,532,8320,130,
112,horn_planning,drones8-8,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem8-8.pddl,1.02673067,145.056649921,146.095865494,9,497908,-,-,-,-
113,om_planning,drones9-5,../examples/drones/9-5,drone9-5.ttl,drone.pddl,droneProblem9-5.pddl, >1800, -, -,-,-,669,13284,164,
114,horn_planning,drones9-5,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem9-5.pddl,0.921365895,2.622750881,3.556935019,5,859,-,-,-,-
115,om_planning,drones9-6,../examples/drones/9-6,drone9-6.ttl,drone.pddl,droneProblem9-6.pddl, >1800, -, -,-,-,670,13284,164,
116,horn_planning,drones9-6,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem9-6.pddl,1.00091056,4.281473278,5.296682606,6,8959,-,-,-,-
117,om_planning,drones9-7,../examples/drones/9-7,drone9-7.ttl,drone.pddl,droneProblem9-7.pddl, >1800, -, -,-,-,668,13284,164,
118,horn_planning,drones9-7,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem9-7.pddl,0.96582065,53.152570737,54.131864424,9,166783,-,-,-,-
119,om_planning,drones9-8,../examples/drones/9-8,drone9-8.ttl,drone.pddl,droneProblem9-8.pddl,1373.272544393,34.77547076,1408.458871313,8,414548,669,13284,164,
120,horn_planning,drones9-8,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem9-8.pddl,0.96215091,119.550724715,120.525432899,8,408371,-,-,-,-
121,om_planning,drones10-5,../examples/drones/10-5,drone10-5.ttl,drone.pddl,droneProblem10-5.pddl, >1800, -, -,-,-,821,20200,202,
122,horn_planning,drones10-5,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem10-5.pddl,1.208245056,3.872044239,5.092951334,5,1919,-,-,-,-
123,om_planning,drones10-6,../examples/drones/10-6,drone10-6.ttl,drone.pddl,droneProblem10-6.pddl, >1800, -, -,-,-,823,20200,202,
124,horn_planning,drones10-6,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem10-6.pddl,1.377723957,9.784151636,11.178428689,7,18801,-,-,-,-
125,om_planning,drones10-7,../examples/drones/10-7,drone10-7.ttl,drone.pddl,droneProblem10-7.pddl, >1800, -, -,-,-,824,20200,202,
126,horn_planning,drones10-7,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem10-7.pddl,1.443625581,108.020177913,109.478059343,8,255266,-,-,-,-
127,om_planning,drones10-8,../examples/drones/10-8,drone10-8.ttl,drone.pddl,droneProblem10-8.pddl, >1800, -, -,-,-,823,20200,202,
128,horn_planning,drones10-8,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem10-8.pddl,1.138588501,312.428835896,313.580441062,9,735588,-,-,-,-
259,om_planning,queens5-1,../examples/queens/5-1,queens5-1.ttl,queens.pddl,problem5-1.pddl,15.28981408,0.484508645,15.809801072,0,1,143,675,25,
260,horn_planning,queens5-1,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem5-1.pddl,0.902483528,1.210502155,2.12565227,0,1,-,-,-,-
261,om_planning,queens5-2,../examples/queens/5-2,queens5-2.ttl,queens.pddl,problem5-2.pddl,15.564211747,0.456690092,16.057368282,1,23,143,675,25,
262,horn_planning,queens5-2,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem5-2.pddl,0.91565438,1.196354709,2.124582763,1,23,-,-,-,-
263,om_planning,queens5-3,../examples/queens/5-3,queens5-3.ttl,queens.pddl,problem5-3.pddl,15.230586005,0.470086567,15.738208138,1,35,143,675,25,
264,horn_planning,queens5-3,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem5-3.pddl,0.917543879,1.210479143,2.142409621,1,35,-,-,-,-
265,om_planning,queens5-4,../examples/queens/5-4,queens5-4.ttl,queens.pddl,problem5-4.pddl,15.40042984,0.444458056,15.884498247,1,47,143,675,25,
266,horn_planning,queens5-4,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem5-4.pddl,0.968242347,1.167091709,2.147397388,1,47,-,-,-,-
