id,method,name,folder,ontology,domain,problem
420,om_planning,pipesA-4,../examples/pipes/A-4,pipesA-4.ttl,pipes.pddl,pipesProblemA-4.pddl
421,horn_planning,pipesA-4,../examples/horn_pipes/A-4,pipes.ttl,pipes.pddl,pipesProblemA-4.pddl
422,om_planning,pipesA-5,../examples/pipes/A-5,pipesA-5.ttl,pipes.pddl,pipesProblemA-5.pddl
423,horn_planning,pipesA-5,../examples/horn_pipes/A-5,pipes.ttl,pipes.pddl,pipesProblemA-5.pddl
424,om_planning,pipesA-6,../examples/pipes/A-6,pipesA-6.ttl,pipes.pddl,pipesProblemA-6.pddl
425,horn_planning,pipesA-6,../examples/horn_pipes/A-6,pipes.ttl,pipes.pddl,pipesProblemA-6.pddl
426,om_planning,pipesA-7,../examples/pipes/A-7,pipesA-7.ttl,pipes.pddl,pipesProblemA-7.pddl
427,horn_planning,pipesA-7,../examples/horn_pipes/A-7,pipes.ttl,pipes.pddl,pipesProblemA-7.pddl
428,om_planning,pipesA-8,../examples/pipes/A-8,pipesA-8.ttl,pipes.pddl,pipesProblemA-8.pddl
429,horn_planning,pipesA-8,../examples/horn_pipes/A-8,pipes.ttl,pipes.pddl,pipesProblemA-8.pddl
430,om_planning,pipesA-9,../examples/pipes/A-9,pipesA-9.ttl,pipes.pddl,pipesProblemA-9.pddl
431,horn_planning,pipesA-9,../examples/horn_pipes/A-9,pipes.ttl,pipes.pddl,pipesProblemA-9.pddl
432,om_planning,pipesA-10,../examples/pipes/A-10,pipesA-10.ttl,pipes.pddl,pipesProblemA-10.pddl
433,horn_planning,pipesA-10,../examples/horn_pipes/A-10,pipes.ttl,pipes.pddl,pipesProblemA-10.pddl
434,om_planning,pipesB-4,../examples/pipes/B-4,pipesB-4.ttl,pipes.pddl,pipesProblemB-4.pddl
435,horn_planning,pipesB-4,../examples/horn_pipes/B-4,pipes.ttl,pipes.pddl,pipesProblemB-4.pddl
436,om_planning,pipesB-5,../examples/pipes/B-5,pipesB-5.ttl,pipes.pddl,pipesProblemB-5.pddl
437,horn_planning,pipesB-5,../examples/horn_pipes/B-5,pipes.ttl,pipes.pddl,pipesProblemB-5.pddl
438,om_planning,pipesB-6,../examples/pipes/B-6,pipesB-6.ttl,pipes.pddl,pipesProblemB-6.pddl
439,horn_planning,pipesB-6,../examples/horn_pipes/B-6,pipes.ttl,pipes.pddl,pipesProblemB-6.pddl
440,om_planning,pipesB-7,../examples/pipes/B-7,pipesB-7.ttl,pipes.pddl,pipesProblemB-7.pddl
441,horn_planning,pipesB-7,../examples/horn_pipes/B-7,pipes.ttl,pipes.pddl,pipesProblemB-7.pddl
442,om_planning,pipesB-8,../examples/pipes/B-8,pipesB-8.ttl,pipes.pddl,pipesProblemB-8.pddl
443,horn_planning,pipesB-8,../examples/horn_pipes/B-8,pipes.ttl,pipes.pddl,pipesProblemB-8.pddl
444,om_planning,pipesB-9,../examples/pipes/B-9,pipesB-9.ttl,pipes.pddl,pipesProblemB-9.pddl
445,horn_planning,pipesB-9,../examples/horn_pipes/B-9,pipes.ttl,pipes.pddl,pipesProblemB-9.pddl
446,om_planning,pipesB-10,../examples/pipes/B-10,pipesB-10.ttl,pipes.pddl,pipesProblemB-10.pddl
447,horn_planning,pipesB-10,../examples/horn_pipes/B-10,pipes.ttl,pipes.pddl,pipesProblemB-10.pddl
448,om_planning,pipesC-4,../examples/pipes/C-4,pipesC-4.ttl,pipes.pddl,pipesProblemC-4.pddl
449,horn_planning,pipesC-4,../examples/horn_pipes/C-4,pipes.ttl,pipes.pddl,pipesProblemC-4.pddl
450,om_planning,pipesC-5,../examples/pipes/C-5,pipesC-5.ttl,pipes.pddl,pipesProblemC-5.pddl
451,horn_planning,pipesC-5,../examples/horn_pipes/C-5,pipes.ttl,pipes.pddl,pipesProblemC-5.pddl
452,om_planning,pipesC-6,../examples/pipes/C-6,pipesC-6.ttl,pipes.pddl,pipesProblemC-6.pddl
453,horn_planning,pipesC-6,../examples/horn_pipes/C-6,pipes.ttl,pipes.pddl,pipesProblemC-6.pddl
454,om_planning,pipesC-7,../examples/pipes/C-7,pipesC-7.ttl,pipes.pddl,pipesProblemC-7.pddl
455,horn_planning,pipesC-7,../examples/horn_pipes/C-7,pipes.ttl,pipes.pddl,pipesProblemC-7.pddl
456,om_planning,pipesC-8,../examples/pipes/C-8,pipesC-8.ttl,pipes.pddl,pipesProblemC-8.pddl
457,horn_planning,pipesC-8,../examples/horn_pipes/C-8,pipes.ttl,pipes.pddl,pipesProblemC-8.pddl
458,om_planning,pipesC-9,../examples/pipes/C-9,pipesC-9.ttl,pipes.pddl,pipesProblemC-9.pddl
459,horn_planning,pipesC-9,../examples/horn_pipes/C-9,pipes.ttl,pipes.pddl,pipesProblemC-9.pddl
460,om_planning,pipesC-10,../examples/pipes/C-10,pipesC-10.ttl,pipes.pddl,pipesProblemC-10.pddl
461,horn_planning,pipesC-10,../examples/horn_pipes/C-10,pipes.ttl,pipes.pddl,pipesProblemC-10.pddl
