id,method,name,folder,ontology,domain,problem
1,om_planning,queen5-1,../examples/queens/5-1,queens5-1.ttl,queens.pddl,problem5-1.pddl
2,om_planning,queen5-2,../examples/queens/5-2,queens5-2.ttl,queens.pddl,problem5-2.pddl
3,om_planning,queen5-3,../examples/queens/5-3,queens5-3.ttl,queens.pddl,problem5-3.pddl
4,om_planning,queen5-4,../examples/queens/5-4,queens5-4.ttl,queens.pddl,problem5-4.pddl
5,om_planning,queen5-5,../examples/queens/5-5,queens5-5.ttl,queens.pddl,problem5-5.pddl
6,om_planning,queen6-2,../examples/queens/6-2,queens6-2.ttl,queens.pddl,problem6-2.pddl
7,om_planning,queen6-3,../examples/queens/6-3,queens6-3.ttl,queens.pddl,problem6-3.pddl
8,om_planning,queen6-4,../examples/queens/6-4,queens6-4.ttl,queens.pddl,problem6-4.pddl
9,om_planning,queen6-5,../examples/queens/6-5,queens6-5.ttl,queens.pddl,problem6-5.pddl
10,om_planning,queen6-6,../examples/queens/6-6,queens6-6.ttl,queens.pddl,problem6-6.pddl
11,om_planning,queen7-3,../examples/queens/7-3,queens7-3.ttl,queens.pddl,problem7-3.pddl
12,om_planning,queen7-4,../examples/queens/7-4,queens7-4.ttl,queens.pddl,problem7-4.pddl
13,om_planning,queen7-5,../examples/queens/7-5,queens7-5.ttl,queens.pddl,problem7-5.pddl
14,om_planning,queen7-6,../examples/queens/7-6,queens7-6.ttl,queens.pddl,problem7-6.pddl
15,om_planning,queen7-7,../examples/queens/7-7,queens7-7.ttl,queens.pddl,problem7-7.pddl
16,om_planning,queen8-4,../examples/queens/8-4,queens8-4.ttl,queens.pddl,problem8-4.pddl
17,om_planning,queen8-5,../examples/queens/8-5,queens8-5.ttl,queens.pddl,problem8-5.pddl
18,om_planning,queen8-6,../examples/queens/8-6,queens8-6.ttl,queens.pddl,problem8-6.pddl
19,om_planning,queen8-7,../examples/queens/8-7,queens8-7.ttl,queens.pddl,problem8-7.pddl
20,om_planning,queen8-8,../examples/queens/8-8,queens8-8.ttl,queens.pddl,problem8-8.pddl
21,om_planning,queen9-5,../examples/queens/9-5,queens9-5.ttl,queens.pddl,problem9-5.pddl
22,om_planning,queen9-6,../examples/queens/9-6,queens9-6.ttl,queens.pddl,problem9-6.pddl
23,om_planning,queen9-7,../examples/queens/9-7,queens9-7.ttl,queens.pddl,problem9-7.pddl
24,om_planning,queen9-8,../examples/queens/9-8,queens9-8.ttl,queens.pddl,problem9-8.pddl
25,om_planning,queen9-9,../examples/queens/9-9,queens9-9.ttl,queens.pddl,problem9-9.pddl
26,om_planning,queen10-6,../examples/queens/10-6,queens10-6.ttl,queens.pddl,problem10-6.pddl
27,om_planning,queen10-7,../examples/queens/10-7,queens10-7.ttl,queens.pddl,problem10-7.pddl
28,om_planning,queen10-8,../examples/queens/10-8,queens10-8.ttl,queens.pddl,problem10-8.pddl
