id,method,name,folder,ontology,domain,problem
393,om_planning,blocksworld5-0,../examples/blocksworld/5-0,blocks.ttl,blocks.pddl,blocksProblem5-0.pddl
394,om_planning,blocksworld5-1,../examples/blocksworld/5-1,blocks.ttl,blocks.pddl,blocksProblem5-1.pddl
395,om_planning,blocksworld5-2,../examples/blocksworld/5-2,blocks.ttl,blocks.pddl,blocksProblem5-2.pddl
396,om_planning,blocksworld6-0,../examples/blocksworld/6-0,blocks.ttl,blocks.pddl,blocksProblem6-0.pddl
397,om_planning,blocksworld6-1,../examples/blocksworld/6-1,blocks.ttl,blocks.pddl,blocksProblem6-1.pddl
398,om_planning,blocksworld6-2,../examples/blocksworld/6-2,blocks.ttl,blocks.pddl,blocksProblem6-2.pddl
399,om_planning,blocksworld7-0,../examples/blocksworld/7-0,blocks.ttl,blocks.pddl,blocksProblem7-0.pddl
400,om_planning,blocksworld7-1,../examples/blocksworld/7-1,blocks.ttl,blocks.pddl,blocksProblem7-1.pddl
401,om_planning,blocksworld7-2,../examples/blocksworld/7-2,blocks.ttl,blocks.pddl,blocksProblem7-2.pddl
402,om_planning,blocksworld8-0,../examples/blocksworld/8-0,blocks.ttl,blocks.pddl,blocksProblem8-0.pddl
403,om_planning,blocksworld8-1,../examples/blocksworld/8-1,blocks.ttl,blocks.pddl,blocksProblem8-1.pddl
404,om_planning,blocksworld8-2,../examples/blocksworld/8-2,blocks.ttl,blocks.pddl,blocksProblem8-2.pddl
405,om_planning,blocksworld9-0,../examples/blocksworld/9-0,blocks.ttl,blocks.pddl,blocksProblem9-0.pddl
406,om_planning,blocksworld9-1,../examples/blocksworld/9-1,blocks.ttl,blocks.pddl,blocksProblem9-1.pddl
407,om_planning,blocksworld9-2,../examples/blocksworld/9-2,blocks.ttl,blocks.pddl,blocksProblem9-2.pddl
408,om_planning,blocksworld10-0,../examples/blocksworld/10-0,blocks.ttl,blocks.pddl,blocksProblem10-0.pddl
409,om_planning,blocksworld10-1,../examples/blocksworld/10-1,blocks.ttl,blocks.pddl,blocksProblem10-1.pddl
410,om_planning,blocksworld10-2,../examples/blocksworld/10-2,blocks.ttl,blocks.pddl,blocksProblem10-2.pddl
