name        ,#examples ,#solvedHorn ,#solvedOM ,timeHorn ,timeOM    ,compilationTimeHorn ,reasoningTimeOM ,planningTimeHorn ,planningTimeOM
cats        ,        1 ,          0 ,        0 ,-1.0     ,-1.0      ,-1.0                ,-1.0            ,-1.0             ,-1.0
elevator    ,       10 ,          0 ,        0 ,-1.0     ,-1.0      ,-1.0                ,-1.0            ,-1.0             ,-1.0
robot       ,        8 ,          0 ,        4 ,-1.0     ,52.11445  ,-1.0                ,51.90274        ,-1.0             ,0.18186986
taskAssign  ,        8 ,          0 ,        3 ,-1.0     ,15.683473 ,-1.0                ,15.535075       ,-1.0             ,0.12551968
tpsa        ,        1 ,          0 ,        0 ,-1.0     ,-1.0      ,-1.0                ,-1.0            ,-1.0             ,-1.0
vta         ,        1 ,          0 ,        0 ,-1.0     ,-1.0      ,-1.0                ,-1.0            ,-1.0             ,-1.0
vta-roles   ,        1 ,          0 ,        0 ,-1.0     ,-1.0      ,-1.0                ,-1.0            ,-1.0             ,-1.0
drones      ,        1 ,          0 ,        0 ,-1.0     ,-1.0      ,-1.0                ,-1.0            ,-1.0             ,-1.0
queens      ,       15 ,          0 ,        0 ,-1.0     ,-1.0      ,-1.0                ,-1.0            ,-1.0             ,-1.0
robotConj   ,        8 ,          0 ,        4 ,-1.0     ,52.18011  ,-1.0                ,52.024147       ,-1.0             ,0.12974226
blocksworld ,       21 ,          0 ,       13 ,-1.0     ,369.43576 ,-1.0                ,4.4410014       ,-1.0             ,364.97604
pipes       ,       21 ,          0 ,       19 ,-1.0     ,8.670376  ,-1.0                ,8.482934        ,-1.0             ,0.16291876
