name,#examples,#solvedHorn,#solvedOM,timeHorn,timeOM,compilationTimeHorn,reasoningTimeOM,planningTimeHorn,planningTimeOM
cats,20,20,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
elevator,20,20,1,0.9697491,286.92004,0.7297151,264.6883,0.22452594,0.33336225
robot,20,20,1,0.9517685,125.320984,0.77132493,106.79409,0.16547157,0.14990348
taskAssign,20,20,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
tpsa,15,5,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
vta,15,15,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
vta-roles,15,15,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
drones,24,24,4,9.866103,1046.873,0.8684845,917.48865,8.98323,4.1286664
queens,30,24,19,15.866533,468.54922,0.71808195,456.2861,15.134978,6.1245914
robotConj,20,20,1,0.78882277,135.01115,0.6567389,114.604225,0.120793775,0.12401092
blocksworld,21,0,13,-1.0,5.8642893,-1.0,4.410058,-1.0,1.1452968
pipes,21,14,19,306.42133,48.386665,0.77501774,37.610374,305.63193,5.5866632
