name,#examples,#solvedHorn,#solvedOM,timeHorn,timeOM,compilationTimeHorn,reasoningTimeOM,planningTimeHorn,planningTimeOM
cats,20,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
elevator,20,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
robot,20,0,5,-1.0,12.406593,-1.0,12.166694,-1.0,0.19690172
taskAssign,20,0,5,-1.0,176.3694,-1.0,176.12985,-1.0,0.20491925
tpsa,15,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
vta,15,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
vta-roles,15,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
drones,24,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
queens,30,0,11,-1.0,49.1927,-1.0,39.205673,-1.0,9.956084
robotConj,20,0,5,-1.0,13.356006,-1.0,13.147336,-1.0,0.17447464
blocksworld,21,0,14,-1.0,245.52522,-1.0,5.584312,-1.0,239.9083
pipes,21,0,17,-1.0,168.18127,-1.0,161.46228,-1.0,6.6844044
