name,#examples,#solvedHorn,#solvedOM,timeHorn,timeOM,compilationTimeHorn,reasoningTimeOM,planningTimeHorn,planningTimeOM
cats,20,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
elevator,20,0,4,-1.0,115.217026,-1.0,114.859055,-1.0,0.32419866
robot,20,0,4,-1.0,42.89709,-1.0,42.573692,-1.0,0.27180162
taskAssign,20,0,4,-1.0,242.61383,-1.0,242.38768,-1.0,0.19103968
tpsa,15,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
vta,15,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
vta-roles,15,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
drones,24,0,9,-1.0,410.2139,-1.0,399.62427,-1.0,10.55587
queens,30,0,25,-1.0,297.45554,-1.0,294.9861,-1.0,2.4273064
robotConj,20,0,4,-1.0,46.098576,-1.0,45.88293,-1.0,0.17192467
blocksworld,21,0,14,-1.0,254.00073,-1.0,5.982484,-1.0,247.98479
pipes,21,0,19,-1.0,27.043182,-1.0,20.228008,-1.0,6.779365
