name,#examples,#solvedHorn,#solvedOM,timeHorn,timeOM,compilationTimeHorn,reasoningTimeOM,planningTimeHorn,planningTimeOM
cats,20,20,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
elevator,20,20,5,1.6049726,84.90907,1.3877702,84.424416,0.2036109,0.43297595
robot,20,20,4,1.2195024,51.617126,0.9345081,51.242043,0.27141592,0.23023796
taskAssign,20,20,4,1.2170632,257.95786,0.91434145,257.71848,0.29019356,0.19438276
tpsa,15,5,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
vta,15,15,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
vta-roles,15,15,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
drones,24,24,16,2.8425803,529.0744,0.9954004,526.92096,1.8328493,1.9313805
queens,30,23,25,218.15878,35.25385,0.89906204,27.339916,217.24522,7.873742
robotConj,20,20,4,1.0365686,52.27734,0.8545153,51.954185,0.16915458,0.18734148
blocksworld,21,0,14,-1.0,124.134964,-1.0,4.880297,-1.0,119.22479
pipes,21,14,19,106.4999,15.347452,1.0093136,11.486328,105.47554,3.817176
