name        ,#examples ,#solvedHorn ,#solvedOM ,timeHorn ,timeOM    ,compilationTimeHorn ,reasoningTimeOM ,planningTimeHorn ,planningTimeOM
cats        ,        1 ,          0 ,        0 ,-1.0     ,-1.0      ,-1.0                ,-1.0            ,-1.0             ,-1.0
elevator    ,        1 ,          0 ,        0 ,-1.0     ,-1.0      ,-1.0                ,-1.0            ,-1.0             ,-1.0
robot       ,       20 ,          0 ,        5 ,-1.0     ,9.566077  ,-1.0                ,9.399549        ,-1.0             ,0.14187704
taskAssign  ,       20 ,          0 ,        5 ,-1.0     ,136.56422 ,-1.0                ,136.4071        ,-1.0             ,0.13456105
tpsa        ,        1 ,          0 ,        0 ,-1.0     ,-1.0      ,-1.0                ,-1.0            ,-1.0             ,-1.0
vta         ,        1 ,          0 ,        0 ,-1.0     ,-1.0      ,-1.0                ,-1.0            ,-1.0             ,-1.0
vta-roles   ,        1 ,          0 ,        0 ,-1.0     ,-1.0      ,-1.0                ,-1.0            ,-1.0             ,-1.0
drones      ,        1 ,          0 ,        0 ,-1.0     ,-1.0      ,-1.0                ,-1.0            ,-1.0             ,-1.0
queens      ,       30 ,          0 ,       11 ,-1.0     ,38.374752 ,-1.0                ,29.418085       ,-1.0             ,8.897735
robotConj   ,       20 ,          0 ,        5 ,-1.0     ,10.651869 ,-1.0                ,10.5069685      ,-1.0             ,0.12033555
blocksworld ,       21 ,          0 ,       14 ,-1.0     ,356.1073  ,-1.0                ,4.158748        ,-1.0             ,351.929
pipes       ,       21 ,          0 ,       17 ,-1.0     ,53.54626  ,-1.0                ,53.369507       ,-1.0             ,0.15364347
