name,#examples,#solvedHorn,#solvedOM,timeHorn,timeOM,compilationTimeHorn,reasoningTimeOM,planningTimeHorn,planningTimeOM
cats,1,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
elevator,20,0,2,-1.0,139.5993,-1.0,139.3252,-1.0,0.23629054
robot,8,0,4,-1.0,50.869255,-1.0,50.59168,-1.0,0.22551641
taskAssign,8,0,4,-1.0,36.04047,-1.0,35.83383,-1.0,0.1738669
tpsa,1,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
vta,1,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
vta-roles,1,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
drones,24,0,11,-1.0,112.33437,-1.0,100.907196,-1.0,11.3986635
queens,30,0,25,-1.0,54.39132,-1.0,52.923855,-1.0,1.4329828
robotConj,8,0,4,-1.0,50.065304,-1.0,49.821377,-1.0,0.20235789
blocksworld,20,0,12,-1.0,485.65613,-1.0,5.105199,-1.0,480.52322
pipes,21,0,16,-1.0,61.970425,-1.0,39.21148,-1.0,22.72261
