name,#examples,#solvedHorn,#solvedOM,timeHorn,timeOM,compilationTimeHorn,reasoningTimeOM,planningTimeHorn,planningTimeOM
cats,20,20,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
elevator,20,20,10,0.96926534,138.82043,0.68516934,138.37901,0.27165973,0.3342718
robot,20,20,2,0.85114455,66.0319,0.69346976,65.84853,0.14638647,0.15276748
taskAssign,20,20,2,0.82754767,54.68956,0.676945,54.542633,0.1403319,0.11914936
tpsa,15,5,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
vta,15,15,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
vta-roles,15,15,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
drones,24,24,9,2.3550472,648.1012,0.71422005,646.88617,1.6301531,0.9841778
queens,30,24,25,13.751749,182.69891,0.66111445,176.91528,13.079873,5.6101904
robotConj,20,20,2,0.78159714,71.937096,0.65023637,71.7843,0.119072266,0.12561914
blocksworld,21,0,13,-1.0,5.3474293,-1.0,4.2813087,-1.0,1.0472668
pipes,21,14,19,295.9107,33.21937,0.6858649,27.810516,295.2125,5.3785825
