# fluent definitions for drone example

PREFIX pipes: <https://www.ifi.uio.no/tobiajoh/pipes#>

OBJECT wp aa	-> pipes:aa
OBJECT wp ab	-> pipes:ab
OBJECT wp ac	-> pipes:ac
OBJECT wp ad	-> pipes:ad
OBJECT wp ba	-> pipes:ba
OBJECT wp bb	-> pipes:bb
OBJECT wp bc	-> pipes:bc
OBJECT wp bd	-> pipes:bd
OBJECT wp ca	-> pipes:ca
OBJECT wp cb	-> pipes:cb
OBJECT wp cc	-> pipes:cc
OBJECT wp cd	-> pipes:cd
OBJECT wp da	-> pipes:da
OBJECT wp db	-> pipes:db
OBJECT wp dc	-> pipes:dc
OBJECT wp dd	-> pipes:dd

OBJECT robot auv	-> pipes:auv
OBJECT valve valveAC -> pipes:valveAC
OBJECT valve valveDC -> pipes:valveDC



PREDICATE robotAt(robot, wp)	-> pipes:robotAt
PREDICATE hasPicture(robot, wp)	-> pipes:hasPicture
PREDICATE open(valve)   -> pipes:OpenValve



