# fluent definitions for robot example
PREFIX robot: <http://www.semanticweb.org/anon/ontologies/2021/3/>

OBJECT thing robot  -> robot:robot

PREDICATE AboveOf0(thing)  -> robot:AboveOf0
PREDICATE AboveOf1(thing)  -> robot:AboveOf1
PREDICATE AboveOf10(thing)  -> robot:AboveOf10
PREDICATE AboveOf11(thing)  -> robot:AboveOf11
PREDICATE AboveOf12(thing)  -> robot:AboveOf12
PREDICATE AboveOf13(thing)  -> robot:AboveOf13
PREDICATE AboveOf14(thing)  -> robot:AboveOf14
PREDICATE AboveOf15(thing)  -> robot:AboveOf15
PREDICATE AboveOf16(thing)  -> robot:AboveOf16
PREDICATE AboveOf17(thing)  -> robot:AboveOf17
PREDICATE AboveOf18(thing)  -> robot:AboveOf18
PREDICATE AboveOf19(thing)  -> robot:AboveOf19
PREDICATE AboveOf2(thing)  -> robot:AboveOf2
PREDICATE AboveOf20(thing)  -> robot:AboveOf20
PREDICATE AboveOf21(thing)  -> robot:AboveOf21
PREDICATE AboveOf22(thing)  -> robot:AboveOf22
PREDICATE AboveOf23(thing)  -> robot:AboveOf23
PREDICATE AboveOf24(thing)  -> robot:AboveOf24
PREDICATE AboveOf25(thing)  -> robot:AboveOf25
PREDICATE AboveOf26(thing)  -> robot:AboveOf26
PREDICATE AboveOf27(thing)  -> robot:AboveOf27
PREDICATE AboveOf3(thing)  -> robot:AboveOf3
PREDICATE AboveOf4(thing)  -> robot:AboveOf4
PREDICATE AboveOf5(thing)  -> robot:AboveOf5
PREDICATE AboveOf6(thing)  -> robot:AboveOf6
PREDICATE AboveOf7(thing)  -> robot:AboveOf7
PREDICATE AboveOf8(thing)  -> robot:AboveOf8
PREDICATE AboveOf9(thing)  -> robot:AboveOf9
PREDICATE BelowOf1(thing)  -> robot:BelowOf1
PREDICATE BelowOf10(thing)  -> robot:BelowOf10
PREDICATE BelowOf11(thing)  -> robot:BelowOf11
PREDICATE BelowOf12(thing)  -> robot:BelowOf12
PREDICATE BelowOf13(thing)  -> robot:BelowOf13
PREDICATE BelowOf14(thing)  -> robot:BelowOf14
PREDICATE BelowOf15(thing)  -> robot:BelowOf15
PREDICATE BelowOf16(thing)  -> robot:BelowOf16
PREDICATE BelowOf17(thing)  -> robot:BelowOf17
PREDICATE BelowOf18(thing)  -> robot:BelowOf18
PREDICATE BelowOf19(thing)  -> robot:BelowOf19
PREDICATE BelowOf2(thing)  -> robot:BelowOf2
PREDICATE BelowOf20(thing)  -> robot:BelowOf20
PREDICATE BelowOf21(thing)  -> robot:BelowOf21
PREDICATE BelowOf22(thing)  -> robot:BelowOf22
PREDICATE BelowOf23(thing)  -> robot:BelowOf23
PREDICATE BelowOf24(thing)  -> robot:BelowOf24
PREDICATE BelowOf25(thing)  -> robot:BelowOf25
PREDICATE BelowOf26(thing)  -> robot:BelowOf26
PREDICATE BelowOf27(thing)  -> robot:BelowOf27
PREDICATE BelowOf28(thing)  -> robot:BelowOf28
PREDICATE BelowOf3(thing)  -> robot:BelowOf3
PREDICATE BelowOf4(thing)  -> robot:BelowOf4
PREDICATE BelowOf5(thing)  -> robot:BelowOf5
PREDICATE BelowOf6(thing)  -> robot:BelowOf6
PREDICATE BelowOf7(thing)  -> robot:BelowOf7
PREDICATE BelowOf8(thing)  -> robot:BelowOf8
PREDICATE BelowOf9(thing)  -> robot:BelowOf9
PREDICATE Column0(thing)  -> robot:Column0
PREDICATE Column1(thing)  -> robot:Column1
PREDICATE Column10(thing)  -> robot:Column10
PREDICATE Column11(thing)  -> robot:Column11
PREDICATE Column12(thing)  -> robot:Column12
PREDICATE Column13(thing)  -> robot:Column13
PREDICATE Column14(thing)  -> robot:Column14
PREDICATE Column15(thing)  -> robot:Column15
PREDICATE Column16(thing)  -> robot:Column16
PREDICATE Column17(thing)  -> robot:Column17
